,FieldName,DataType,Min,Max,Mean,StdDev,Median,Mode,NumValues,NumNulls,NumUnique,AutoCorr,FFT,Distrib
dew_point_temperature_detail_qc.1,dew_point_temperature_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
dew_point_temperature_release.1,dew_point_temperature_release.1,int64,-9,1,0.9762470308788599,0.4873701788285793,1.0,1,421,0,2,-0.0023866348448687404,inf,"{1: 0.997624703087886, -9: 0.0023752969121140144}"
relative_humidity.1,relative_humidity.1,float64,70.3142,94.6992,87.00470357142858,4.943655777886025,87.8301,89.2937,421,1,158,0.9942106304589778,inf,{}
relative_humidity_qc.1,relative_humidity_qc.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
relative_humidity_detail_qc.1,relative_humidity_detail_qc.1,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
relative_humidity_release.1,relative_humidity_release.1,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
latitude.2,latitude.2,float64,34.7422,34.752,34.74657595238095,0.0024946563985154867,34.746,34.7448,421,1,51,0.9969064451121289,inf,{}
latitude_qc.2,latitude_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
latitude_detail_qc.2,latitude_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
latitude_release.2,latitude_release.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude.2,longitude.2,float64,-72.2892,-72.2799,-72.28317595238096,0.0025508139554718976,-72.2828,-72.2841,421,1,48,0.9976066497497889,inf,{}
longitude_qc.2,longitude_qc.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
longitude_detail_qc.2,longitude_detail_qc.2,object,b'0',b'_',NA,NA,NA,b'0',421,0,2,NA,NA,"{'0': 0.997624703087886, '_': 0.0023752969121140144}"
longitude_release.2,longitude_release.2,int64,-9,0,-0.021377672209026127,0.43863316094572147,0.0,0,421,0,2,-0.0023866348448687486,1.2529761904761902,"{0: 0.997624703087886, -9: 0.0023752969121140144}"
latitude.3,latitude.3,float64,34.7422,34.752,34.74652285714285,0.0025271953537685026,34.746,34.7448,421,351,50,,inf,{}
latitude_qc.3,latitude_qc.3,int64,-9,0,-7.503562945368171,3.3548985704566774,-9.0,-9,421,0,2,-0.1965811965811962,inf,"{-9: 0.833729216152019, 0: 0.166270783847981}"
latitude_detail_qc.3,latitude_detail_qc.3,object,b'0',b'_',NA,NA,NA,b'_',421,0,2,NA,NA,"{'_': 0.833729216152019, '0': 0.166270783847981}"
latitude_release.3,latitude_release.3,int64,-9,0,-7.503562945368171,3.3548985704566774,-9.0,-9,421,0,2,-0.1965811965811962,inf,"{-9: 0.833729216152019, 0: 0.166270783847981}"
longitude.3,longitude.3,float64,-72.2892,-72.2799,-72.28313000000001,0.0025882874423162677,-72.28275,-72.2841,421,351,46,,inf,{}
longitude_qc.3,longitude_qc.3,int64,-9,0,-7.503562945368171,3.3548985704566774,-9.0,-9,421,0,2,-0.1965811965811962,inf,"{-9: 0.833729216152019, 0: 0.166270783847981}"
